Tornadoes,Fatalities,Year,Month,Temp
201,70,1950,12,-0.181
196,69,1951,1,-0.2903
186,25,1951,2,-0.4101
171,24,1951,3,-0.1689
182,14,1951,4,-0.0877
178,19,1951,5,0.0569
226,22,1951,6,0.0381
226,27,1951,7,0.1101
240,27,1951,8,0.113
246,35,1951,9,0.1322
246,35,1951,10,0.1081
254,36,1951,11,0.026
260,34,1951,12,0.2148
270,34,1952,1,0.152
287,43,1952,2,0.0921
324,252,1952,3,-0.048
335,254,1952,4,0.0666
312,249,1952,5,0.034
270,243,1952,6,0.0396
274,240,1952,7,0.0735
263,241,1952,8,0.0647
255,233,1952,9,0.0653
253,233,1952,10,-0.0366
247,232,1952,11,-0.1975
240,231,1952,12,-0.008
242,231,1953,1,0.1037
231,224,1953,2,0.1534
228,39,1953,3,0.1539
238,71,1953,4,0.1873
298,232,1953,5,0.144
375,473,1953,6,0.124
380,471,1953,7,0.0662
388,470,1953,8,0.0812
392,470,1953,9,0.0632
398,470,1953,10,0.0723
404,470,1953,11,-0.0621
422,519,1953,12,0.0555
410,519,1954,1,-0.2352
411,518,1954,2,-0.0865
433,504,1954,3,-0.091
499,470,1954,4,-0.1766
506,316,1954,5,-0.202
502,77,1954,6,-0.1161
515,77,1954,7,-0.1229
540,78,1954,8,-0.0913
556,81,1954,9,-0.0595
564,83,1954,10,-0.0694
554,83,1954,11,0.039
550,36,1954,12,-0.1859
551,36,1955,1,0.0879
538,34,1955,2,-0.1303
517,29,1955,3,-0.3091
503,34,1955,4,-0.2383
550,131,1955,5,-0.1274
596,128,1955,6,-0.0695
600,133,1955,7,-0.0881
584,132,1955,8,-0.0262
578,131,1955,9,-0.0923
587,130,1955,10,-0.1232
605,131,1955,11,-0.2373
591,129,1955,12,-0.2706
590,129,1956,1,-0.1773
633,137,1956,2,-0.2732
623,133,1956,3,-0.2003
609,193,1956,4,-0.2846
540,91,1956,5,-0.2275
452,89,1956,6,-0.1437
495,85,1956,7,-0.1346
504,87,1956,8,-0.1866
505,85,1956,9,-0.252
511,84,1956,10,-0.1989
498,83,1956,11,-0.1564
504,83,1956,12,-0.153
518,96,1957,1,-0.1178
476,88,1957,2,-0.1118
483,88,1957,3,-0.068
614,51,1957,4,-0.0193
763,134,1957,5,0.1092
845,148,1957,6,0.1577
808,147,1957,7,0.0596
786,145,1957,8,0.1302
787,147,1957,9,0.0748
776,149,1957,10,0.0143
828,174,1957,11,0.1282
857,193,1957,12,0.229
852,180,1958,1,0.2964
867,193,1958,2,0.2103
844,192,1958,3,0.1181
704,166,1958,4,0.114
544,79,1958,5,0.1007
525,108,1958,6,0.0624
591,109,1958,7,0.0649
617,110,1958,8,0.0528
624,109,1958,9,0.0186
615,111,1958,10,0.0405
601,86,1958,11,0.0896
564,67,1958,12,0.1452
569,70,1959,1,0.125
569,78,1959,2,0.0682
597,87,1959,3,0.2041
551,84,1959,4,0.118
709,92,1959,5,0.0263
654,51,1959,6,0.0849
595,50,1959,7,0.0671
587,49,1959,8,0.0516
621,62,1959,9,0.097
636,58,1959,10,-0.0137
601,58,1959,11,-0.079
602,58,1959,12,-0.0343
595,55,1960,1,0.0032
603,34,1960,2,0.1858
588,25,1960,3,-0.2041
628,31,1960,4,-0.0954
603,57,1960,5,-0.0841
655,58,1960,6,0.0772
635,58,1960,7,0.0339
645,59,1960,8,0.0461
608,45,1960,9,0.0638
602,46,1960,10,0.039
617,46,1960,11,-0.0484
616,46,1960,12,0.2278
608,46,1961,1,0.1188
611,46,1961,2,0.1768
707,53,1961,3,0.1646
712,50,1961,4,0.1335
648,39,1961,5,0.1614
630,38,1961,6,0.1479
665,38,1961,7,0.035
644,37,1961,8,0.032
676,52,1961,9,-0.0041
672,51,1961,10,-0.035
683,52,1961,11,0.016
698,52,1961,12,-0.0171
709,53,1962,1,0.1345
703,53,1962,2,0.1698
616,63,1962,3,0.1197
582,61,1962,4,0.0763
645,42,1962,5,0.0589
708,40,1962,6,0.0574
709,40,1962,7,0.0905
733,46,1962,8,0.0552
704,31,1962,9,0.0606
701,31,1962,10,0.0796
670,30,1962,11,0.0745
656,30,1962,12,0.0881
659,30,1963,1,0.0376
639,30,1963,2,0.2566
649,21,1963,3,-0.0216
693,35,1963,4,-0.0041
564,32,1963,5,0.013
484,32,1963,6,0.0499
468,32,1963,7,0.1382
443,28,1963,8,0.1579
452,31,1963,9,0.1629
454,31,1963,10,0.2148
464,31,1963,11,0.1947
462,31,1963,12,0.0812
461,40,1964,1,0.0488
458,40,1964,2,-0.1048
447,38,1964,3,-0.1421
520,37,1964,4,-0.1847
584,52,1964,5,-0.098
631,52,1964,6,-0.0931
632,52,1964,7,-0.1111
685,52,1964,8,-0.1669
677,49,1964,9,-0.2093
686,71,1964,10,-0.2665
688,71,1964,11,-0.2017
706,73,1964,12,-0.2651
713,63,1965,1,-0.0699
744,63,1965,2,-0.1966
742,59,1965,3,-0.1005
710,312,1965,4,-0.1875
849,313,1965,5,-0.0787
859,320,1965,6,-0.0434
881,320,1965,7,-0.0841
863,319,1965,8,-0.0464
900,319,1965,9,-0.0503
894,298,1965,10,0.0238
911,303,1965,11,-0.09
900,301,1965,12,-0.0124
880,301,1966,1,-0.0458
875,301,1966,2,-0.0373
853,357,1966,3,-0.0025
807,101,1966,4,-0.0908
631,84,1966,5,-0.0359
610,96,1966,6,0.0577
625,99,1966,7,0.0667
622,98,1966,8,0.0191
582,98,1966,9,0.0261
595,103,1966,10,-0.0592
581,98,1966,11,-0.0465
585,98,1966,12,-0.1244
624,105,1967,1,-0.1068
604,105,1967,2,-0.1656
634,50,1967,3,0.0029
703,111,1967,4,0.0056
721,114,1967,5,0.1243
805,101,1967,6,-0.0299
795,99,1967,7,-0.0177
765,101,1967,8,-0.0055
882,106,1967,9,-0.0317
889,104,1967,10,0.1288
877,104,1967,11,-0.0212
927,114,1967,12,-0.04
892,107,1968,1,-0.1865
891,107,1968,2,-0.1266
877,104,1968,3,0.1508
831,71,1968,4,-0.0703
860,140,1968,5,-0.0803
786,145,1968,6,-0.0161
752,146,1968,7,-0.0197
790,146,1968,8,-0.0143
676,141,1968,9,-0.0112
654,137,1968,10,0.0471
690,140,1968,11,0.0156
661,131,1968,12,-0.0431
659,163,1969,1,-0.1295
657,163,1969,2,-0.1038
637,164,1969,3,0.1222
603,126,1969,4,0.1935
602,58,1969,5,0.1756
603,54,1969,6,0.0766
645,52,1969,7,0.0933
649,69,1969,8,0.0954
644,69,1969,9,0.0843
655,69,1969,10,0.0713
616,66,1969,11,0.1896
607,66,1969,12,0.2468
613,34,1970,1,0.1214
624,34,1970,2,0.2353
641,35,1970,3,0.0317
689,63,1970,4,0.131
633,85,1970,5,0.0414
630,84,1970,6,0.0295
613,87,1970,7,-0.0218
598,68,1970,8,-0.0198
633,68,1970,9,0.0077
658,74,1970,10,-0.0367
663,74,1970,11,0.0226
654,73,1970,12,-0.0954
662,74,1971,1,-0.0045
731,208,1971,2,-0.2144
746,208,1971,3,-0.1412
704,189,1971,4,-0.1299
784,170,1971,5,-0.0899
848,165,1971,6,-0.1243
867,163,1971,7,-0.063
862,163,1971,8,-0.0688
854,163,1971,9,-0.0443
842,157,1971,10,-0.0763
848,157,1971,11,0.0363
888,159,1971,12,-0.0198
904,163,1972,1,-0.2415
826,29,1972,2,-0.1624
855,27,1972,3,0.0014
876,32,1972,4,0.0357
848,25,1972,5,0.0147
763,33,1972,6,0.0765
778,32,1972,7,0.0639
787,34,1972,8,0.0863
789,34,1972,9,0.0207
785,34,1972,10,0.0891
786,36,1972,11,0.0799
740,34,1972,12,0.2529
740,30,1973,1,0.259
743,30,1973,2,0.3722
755,47,1973,3,0.3305
809,41,1973,4,0.2502
919,76,1973,5,0.2152
1030,70,1973,6,0.1972
995,71,1973,7,0.1163
987,73,1973,8,0.0774
1008,76,1973,9,0.0563
999,76,1973,10,0.0446
1063,86,1973,11,0.022
1104,89,1973,12,0.0277
1094,90,1974,1,-0.1953
1107,90,1974,2,-0.2548
1064,74,1974,3,-0.0509
1187,381,1974,4,-0.042
1081,356,1974,5,-0.0246
1051,384,1974,6,-0.0375
1030,383,1974,7,0.0195
1085,379,1974,8,0.0131
1040,376,1974,9,-0.0428
1060,381,1974,10,-0.0831
992,369,1974,11,-0.0671
951,366,1974,12,-0.0976
980,376,1975,1,0.1201
1002,383,1975,2,0.0326
1048,394,1975,3,0.1096
883,90,1975,4,0.0779
927,85,1975,5,0.0693
929,60,1975,6,0.0342
949,62,1975,7,0.0055
903,64,1975,8,-0.0671
912,64,1975,9,0.017
879,59,1975,10,-0.1236
904,59,1975,11,-0.145
918,60,1975,12,-0.0895
878,48,1976,1,-0.0181
870,46,1976,2,-0.1221
968,55,1976,3,-0.2394
973,43,1976,4,-0.0223
940,46,1976,5,-0.1228
913,43,1976,6,-0.074
918,43,1976,7,-0.0846
896,42,1976,8,-0.0894
897,45,1976,9,-0.0426
896,45,1976,10,-0.1821
858,45,1976,11,-0.0432
837,44,1976,12,0.0906
830,44,1977,1,0.0639
810,41,1977,2,0.2384
692,20,1977,3,0.3109
667,45,1977,4,0.282
740,41,1977,5,0.2368
703,38,1977,6,0.2474
719,37,1977,7,0.1737
763,42,1977,8,0.1418
794,40,1977,9,0.1867
808,41,1977,10,0.1189
832,41,1977,11,0.2603
854,43,1977,12,0.1124
872,45,1978,1,0.1606
862,43,1978,2,0.1306
815,43,1978,3,0.2228
834,21,1978,4,0.1324
819,24,1978,5,0.0596
835,41,1978,6,0.0532
878,51,1978,7,0.0699
861,46,1978,8,0.0033
815,51,1978,9,0.0748
797,50,1978,10,0.0646
781,50,1978,11,0.2245
789,53,1978,12,0.1512
782,51,1979,1,0.1602
779,51,1979,2,0.0922
815,52,1979,3,0.243
835,106,1979,4,0.1112
734,101,1979,5,0.1569
736,92,1979,6,0.2183
725,82,1979,7,0.1746
786,86,1979,8,0.2263
835,82,1979,9,0.2519
875,89,1979,10,0.2945
888,89,1979,11,0.2953
859,84,1979,12,0.5032
848,84,1980,1,0.308
855,84,1980,2,0.3506
842,85,1980,3,0.2389
852,31,1980,4,0.3082
944,37,1980,5,0.316
1011,36,1980,6,0.2474
974,40,1980,7,0.2172
921,35,1980,8,0.1957
889,34,1980,9,0.2008
885,28,1980,10,0.1821
867,28,1980,11,0.3319
866,28,1980,12,0.2674
863,28,1981,1,0.4656
877,30,1981,2,0.3629
870,29,1981,3,0.4083
817,38,1981,4,0.3579
800,30,1981,5,0.262
806,31,1981,6,0.2853
809,26,1981,7,0.2268
800,26,1981,8,0.2428
789,25,1981,9,0.186
778,24,1981,10,0.1687
782,24,1981,11,0.2119
782,24,1981,12,0.42
798,25,1982,1,0.1342
774,23,1982,2,0.1593
801,28,1982,3,0.0833
868,45,1982,4,0.2054
1012,59,1982,5,0.1923
985,55,1982,6,0.1231
982,55,1982,7,0.1436
952,55,1982,8,0.1406
964,57,1982,9,0.233
941,57,1982,10,0.1771
953,57,1982,11,0.151
1049,64,1982,12,0.4355
1044,65,1983,1,0.5169
1084,66,1983,2,0.4834
1095,60,1983,3,0.4256
1009,36,1983,4,0.2918
927,36,1983,5,0.2881
909,34,1983,6,0.2629
913,38,1983,7,0.2663
955,38,1983,8,0.3228
935,36,1983,9,0.3175
939,36,1983,10,0.2113
969,36,1983,11,0.4313
930,34,1983,12,0.2748
918,32,1984,1,0.2831
904,31,1984,2,0.1753
908,95,1984,3,0.272
1019,122,1984,4,0.1503
941,114,1984,5,0.2834
1006,126,1984,6,0.1306
979,122,1984,7,0.1193
950,122,1984,8,0.1687
949,122,1984,9,0.1431
985,126,1984,10,0.1187
966,127,1984,11,0.0365
912,122,1984,12,-0.0926
913,122,1985,1,0.1783
893,122,1985,2,0.0176
856,60,1985,3,0.1875
815,32,1985,4,0.1488
829,104,1985,5,0.1959
668,93,1985,6,0.129
647,93,1985,7,0.0779
708,96,1985,8,0.1287
730,96,1985,9,0.101
699,92,1985,10,0.1303
688,94,1985,11,0.1181
687,94,1985,12,0.1978
685,94,1986,1,0.3249
708,96,1986,2,0.2788
746,100,1986,3,0.2966
695,97,1986,4,0.2613
682,20,1986,5,0.2507
734,17,1986,6,0.2534
772,20,1986,7,0.1686
731,18,1986,8,0.1698
757,18,1986,9,0.1716
765,18,1986,10,0.2066
763,15,1986,11,0.1548
765,15,1986,12,0.2179
771,15,1987,1,0.3115
760,19,1987,2,0.5028
722,14,1987,3,0.2541
658,13,1987,4,0.3009
612,43,1987,5,0.3339
610,45,1987,6,0.3013
684,42,1987,7,0.4182
680,42,1987,8,0.3832
634,42,1987,9,0.4321
609,42,1987,10,0.3347
648,53,1987,11,0.3306
658,59,1987,12,0.5316
669,64,1988,1,0.5487
654,58,1988,2,0.3901
642,58,1988,3,0.4828
680,61,1988,4,0.4426
686,33,1988,5,0.3811
617,31,1988,6,0.3865
557,31,1988,7,0.3431
555,33,1988,8,0.3199
612,34,1988,9,0.3211
630,34,1988,10,0.3009
695,37,1988,11,0.2291
700,32,1988,12,0.3626
698,27,1989,1,0.2157
711,27,1989,2,0.3072
729,27,1989,3,0.336
753,23,1989,4,0.2891
853,29,1989,5,0.2779
1042,34,1989,6,0.2727
998,34,1989,7,0.3016
973,31,1989,8,0.3021
928,30,1989,9,0.3019
939,34,1989,10,0.3044
876,51,1989,11,0.2541
859,50,1989,12,0.4013
855,50,1990,1,0.3613
895,51,1990,2,0.4072
939,53,1990,3,0.7328
965,53,1990,4,0.4907
976,49,1990,5,0.4274
1058,55,1990,6,0.4114
1105,55,1990,7,0.3453
1129,84,1990,8,0.3479
1143,84,1990,9,0.3144
1148,82,1990,10,0.4277
1108,51,1990,11,0.4797
1140,53,1990,12,0.4481
1158,54,1991,1,0.4512
1112,53,1991,2,0.4661
1182,63,1991,3,0.3658
1278,84,1991,4,0.5168
1370,79,1991,5,0.4107
1252,69,1991,6,0.4813
1210,70,1991,7,0.4462
1196,41,1991,8,0.388
1177,41,1991,9,0.3863
1163,39,1991,10,0.3292
1165,41,1991,11,0.3175
1133,39,1991,12,0.3064
1119,38,1992,1,0.4721
1137,38,1992,2,0.4485
1034,30,1992,3,0.4333
883,9,1992,4,0.2936
685,9,1992,5,0.3276
869,9,1992,6,0.2821
1018,8,1992,7,0.1359
1087,11,1992,8,0.1405
1143,11,1992,9,0.0588
1156,15,1992,10,0.1154
1285,39,1992,11,0.0943
1302,39,1992,12,0.2833
1304,39,1993,1,0.384
1309,120,1993,2,0.3967
1302,120,1993,3,0.4208
1334,130,1993,4,0.3155
1375,131,1993,5,0.3438
1288,130,1993,6,0.293
1317,130,1993,7,0.2336
1314,133,1993,8,0.2118
1297,135,1993,9,0.1692
1318,135,1993,10,0.2442
1188,109,1993,11,0.092
1174,109,1993,12,0.3188
1170,109,1994,1,0.2902
1145,28,1994,2,0.0791
1155,45,1994,3,0.3568
1276,48,1994,4,0.3568
1259,47,1994,5,0.3819
1182,50,1994,6,0.387
1095,53,1994,7,0.3155
1103,47,1994,8,0.3119
1068,45,1994,9,0.33
1064,41,1994,10,0.4273
1087,48,1994,11,0.453
1085,48,1994,12,0.4009
1108,50,1995,1,0.5487
1106,56,1995,2,0.6895
1097,34,1995,3,0.4637
1021,22,1995,4,0.4097
1252,39,1995,5,0.3537
1232,40,1995,6,0.4657
1240,37,1995,7,0.4295
1173,37,1995,8,0.5056
1162,37,1995,9,0.3865
1185,38,1995,10,0.4376
1222,33,1995,11,0.455
1236,34,1995,12,0.3477
1235,33,1996,1,0.2625
1242,28,1996,2,0.4562
1264,34,1996,3,0.3242
1311,45,1996,4,0.2725
1154,29,1996,5,0.3908
1066,25,1996,6,0.3547
1104,26,1996,7,0.3238
1123,26,1996,8,0.3206
1205,26,1996,9,0.2696
1199,25,1996,10,0.2276
1175,26,1996,11,0.2816
1172,26,1996,12,0.3893
1187,27,1997,1,0.3746
1196,27,1997,2,0.4288
1227,50,1997,3,0.4617
1164,39,1997,4,0.4551
1154,67,1997,5,0.4235
1219,67,1997,6,0.5308
1206,70,1997,7,0.5101
1218,71,1997,8,0.5491
1149,72,1997,9,0.625
1182,72,1997,10,0.6487
1152,69,1997,11,0.5865
1149,68,1997,12,0.6302
1146,66,1998,1,0.6042
1195,107,1998,2,0.866
1165,94,1998,3,0.6396
1233,148,1998,4,0.7358
1319,129,1998,5,0.6679
1505,132,1998,6,0.6657
1399,128,1998,7,0.7358
1376,127,1998,8,0.6816
1448,128,1998,9,0.5271
1433,130,1998,10,0.4965
1434,130,1998,11,0.4132
1428,130,1998,12,0.5796
1595,148,1999,1,0.5007
1545,106,1999,2,0.6733
1529,91,1999,3,0.3702
1526,51,1999,4,0.459
1526,94,1999,5,0.4086
1436,95,1999,6,0.4203
1453,95,1999,7,0.4029
1471,96,1999,8,0.3695
1421,94,1999,9,0.3976
1352,92,1999,10,0.3773
1333,92,1999,11,0.3688
1342,94,1999,12,0.5779
1144,76,2000,1,0.3467
1177,95,2000,2,0.5439
1224,96,2000,3,0.5561
1181,83,2000,4,0.6311
1111,33,2000,5,0.4657
958,29,2000,6,0.4076
1007,30,2000,7,0.3919
979,29,2000,8,0.4557
972,31,2000,9,0.4384
1019,31,2000,10,0.3027
1062,31,2000,11,0.2557
1073,41,2000,12,0.3192
1062,41,2001,1,0.472
1035,30,2001,2,0.3946
964,28,2001,3,0.6293
963,31,2001,4,0.5666
962,29,2001,5,0.5997
1074,33,2001,6,0.5373
1046,32,2001,7,0.5586
1064,32,2001,8,0.6032
1101,32,2001,9,0.505
1155,34,2001,10,0.5006
1216,49,2001,11,0.688
1212,37,2001,12,0.5128
1210,37,2002,1,0.6962
1184,29,2002,2,0.7846
1198,29,2002,3,0.7887
1179,31,2002,4,0.5725
1143,34,2002,5,0.5656
992,30,2002,6,0.589
940,30,2002,7,0.6229
957,30,2002,8,0.5359
934,28,2002,9,0.5661
873,29,2002,10,0.4773
858,51,2002,11,0.5918
934,55,2002,12,0.4366
931,55,2003,1,0.6907
947,57,2003,2,0.5626
944,65,2003,3,0.5702
986,58,2003,4,0.5601
1332,95,2003,5,0.5954
1527,97,2003,6,0.5381
1626,97,2003,7,0.5408
1584,97,2003,8,0.6202
1555,97,2003,9,0.6412
1524,95,2003,10,0.7271
1482,58,2003,11,0.5784
1385,54,2003,12,0.7361
1387,54,2004,1,0.5979
1376,52,2004,2,0.7232
1383,44,2004,3,0.6964
1350,52,2004,4,0.594
1310,18,2004,5,0.4442
1284,18,2004,6,0.4707
1241,18,2004,7,0.4806
1376,21,2004,8,0.5141
1640,29,2004,9,0.5331
1692,31,2004,10,0.6177
1788,35,2004,11,0.7601
1813,35,2004,12,0.5081
1843,39,2005,1,0.6223
1846,39,2005,2,0.5143
1858,40,2005,3,0.6918
1865,32,2005,4,0.7314
1478,25,2005,5,0.6573
1528,23,2005,6,0.6722
1541,23,2005,7,0.6572
1485,24,2005,8,0.6247
1322,17,2005,9,0.6867
1262,14,2005,10,0.693
1263,38,2005,11,0.728
1262,38,2005,12,0.6235
1277,35,2006,1,0.4567
1279,35,2006,2,0.6221
1365,45,2006,3,0.5931
1479,83,2006,4,0.5177
1495,86,2006,5,0.5499
1298,86,2006,6,0.6399
1232,86,2006,7,0.6218
1189,83,2006,8,0.6231
1140,83,2006,9,0.6337
1198,83,2006,10,0.6774
1089,65,2006,11,0.6449
1106,67,2006,12,0.7692
1080,68,2007,1,0.8839
1120,90,2007,2,0.6609
1145,106,2007,3,0.6668
1066,77,2007,4,0.7336
1180,88,2007,5,0.609
1189,88,2007,6,0.5374
1187,88,2007,7,0.5286
1180,88,2007,8,0.5509
1148,87,2007,9,0.5775
1158,92,2007,10,0.567
1123,82,2007,11,0.5172
1100,81,2007,12,0.4872
1163,86,2008,1,0.2746
1258,123,2008,2,0.3774
1214,100,2008,3,0.7625
1236,91,2008,4,0.4827
1445,121,2008,5,0.5011
1609,128,2008,6,0.5314
1635,129,2008,7,0.5796
1663,128,2008,8,0.5594
1722,130,2008,9,0.5318
1657,125,2008,10,0.669
1665,127,2008,11,0.6703
1692,126,2008,12,0.5635
1614,119,2009,1,0.5955
1503,69,2009,2,0.5679
1489,65,2009,3,0.5794
1526,71,2009,4,0.6539
1265,32,2009,5,0.5868
1243,25,2009,6,0.6741
1266,24,2009,7,0.6439
1225,24,2009,8,0.6998
1122,22,2009,9,0.7083
1166,23,2009,10,0.6418
1154,21,2009,11,0.6716
1146,21,2009,12,0.6176
1170,21,2010,1,0.6958
1135,12,2010,2,0.708
1053,13,2010,3,0.847
966,18,2010,4,0.8287
1069,20,2010,5,0.7582
1123,32,2010,6,0.7339
1151,34,2010,7,0.7287
1146,35,2010,8,0.6595
1195,37,2010,9,0.5724
1238,36,2010,10,0.6268
1288,36,2010,11,0.7682
1282,45,2010,12,0.4894
1268,45,2011,1,0.4706
1330,46,2011,2,0.4976
1372,46,2011,3,0.5915
1991,398,2011,4,0.6522
2013,569,2011,5,0.5741
1849,560,2011,6,0.6465
1806,558,2011,7,0.6282
1808,559,2011,8,0.616
1802,557,2011,9,0.5998
1717,557,2011,10,0.6349
1708,562,2011,11,0.4857
1691,553,2011,12,0.5485
1754,555,2012,1,0.4228
1748,569,2012,2,0.4235
1827,611,2012,3,0.5218
1275,254,2012,4,0.7335
1070,76,2012,5,0.7221
1021,77,2012,6,0.7039
955,77,2012,7,0.6884
936,75,2012,8,0.6694
923,75,2012,9,0.7266
937,75,2012,10,0.7022
900,70,2012,11,0.7087
938,70,2012,12,0.4655
934,69,2013,1,0.5873
916,55,2013,2,0.6357
780,12,2013,3,0.6139
660,7,2013,4,0.561
806,48,2013,5,0.7141
819,45,2013,6,0.6838
854,45,2013,7,0.6662
861,45,2013,8,0.6605
844,45,2013,9,0.6857
868,45,2013,10,0.6787
941,53,2013,11,0.8293
906,55,2013,12,0.6981
835,54,2014,1,0.6936
838,53,2014,2,0.48
840,53,2014,3,0.7695
883,87,2014,4,0.8006
746,46,2014,5,0.7938
908,47,2014,6,0.7623
921,51,2014,7,0.6988
909,51,2014,8,0.7986
929,51,2014,9,0.7872
941,52,2014,10,0.7851
884,44,2014,11,0.6895
886,47,2014,12,0.8308
910,47,2015,1,0.8141
871,47,2015,2,0.8843
862,48,2015,3,0.8969
904,15,2015,4,0.7741
1155,22,2015,5,0.8584
1053,20,2015,6,0.8835
1083,16,2015,7,0.8072
1095,16,2015,8,0.8746
1071,16,2015,9,0.926
1038,15,2015,10,0.9913
1114,15,2015,11,0.9655
1177,36,2015,12,1.1219
1166,38,2016,1,1.0569
1266,45,2016,2,1.1921
1340,44,2016,3,1.2245
1311,43,2016,4,1.0733
1147,38,2016,5,0.8738
1049,38,2016,6,0.9006
1042,38,2016,7,0.8687
1087,38,2016,8,0.8998
1089,38,2016,10,0.7292
1089,38,2016,10,0.8767
1040,44,2016,11,0.7504
976,18,2016,12,0.7895
